,title,release_date,genres,mpaa,budget_cost,total_gross,runtime,release_month,release_year,world_gross,domestic_gross,month_year,genre_1
2303,Shock and Awe,"Jul 13, 2018","['Biography', 'Drama', 'History', 'Thriller', 'War']",R,,"{'domestic_gross': 77980, 'worldwide_gross': 182415}",1 hr 30 min,Jul,2018,182415,77980,Jul 2018,Biography
2304,A Breath Away,"Aug 10, 2018","['Drama', 'Mystery', 'Sci-Fi', 'Thriller']",,,"{'domestic_gross': 77987, 'worldwide_gross': 2842040}",1 hr 29 min,Aug,2018,2842040,77987,Aug 2018,Drama
2305,93Queen,"Jul 25, 2018",['Documentary'],,,"{'domestic_gross': 76056, 'worldwide_gross': 76056}",1 hr 30 min,Jul,2018,76056,76056,Jul 2018,Documentary
2306,The Brawler,"Jan 12, 2018","['Action', 'Drama', 'Sport']",,,"{'domestic_gross': 75929, 'worldwide_gross': 138515}",2 hr 34 min,Jan,2018,138515,75929,Jan 2018,Action
2307,The Riot Act,"Sep 14, 2018",['Thriller'],PG-13,,"{'domestic_gross': 75506, 'worldwide_gross': 75506}",1 hr 41 min,Sep,2018,75506,75506,Sep 2018,Thriller
2308,Keys To The Heart,"Jan 26, 2018","['Comedy', 'Drama', 'Family']",,,"{'domestic_gross': 75134, 'worldwide_gross': 25375866}",2 hr,Jan,2018,25375866,75134,Jan 2018,Comedy
2309,Tehran Taboo,"Feb 14, 2018","['Animation', 'Drama']",,,"{'domestic_gross': 74758, 'worldwide_gross': 349886}",1 hr 36 min,Feb,2018,349886,74758,Feb 2018,Animation
2310,Above and Beyond: NASA's Journey to Tomorrow,"Sep 29, 2018",['Documentary'],,,"{'domestic_gross': 74711, 'worldwide_gross': 74711}",1 hr 30 min,Sep,2018,74711,74711,Sep 2018,Documentary
2311,After Auschwitz,"Apr 14, 2018",['Documentary'],,,"{'domestic_gross': 73885, 'worldwide_gross': 73885}",1 hr 23 min,Apr,2018,73885,73885,Apr 2018,Documentary
2312,Bye Bye Germany,"Apr 13, 2018","['Comedy', 'Drama', 'War']",,,"{'domestic_gross': 73730, 'worldwide_gross': 176933}",1 hr 42 min,Apr,2018,176933,73730,Apr 2018,Comedy
2313,The Last Suit,"Mar 23, 2018",['Drama'],,,"{'domestic_gross': 73548, 'worldwide_gross': 608209}",1 hr 31 min,Mar,2018,608209,73548,Mar 2018,Drama
2314,"Nico, 1988","Aug 1, 2018","['Biography', 'Drama', 'Music']",R,,"{'domestic_gross': 73304, 'worldwide_gross': 83558}",1 hr 33 min,Aug,2018,83558,73304,Aug 2018,Biography
2315,Becoming Astrid,"Nov 23, 2018","['Biography', 'Drama']",,,"{'domestic_gross': 120486, 'worldwide_gross': 938766}",2 hr 3 min,Nov,2018,938766,120486,Nov 2018,Biography
2316,Helicopter Eela,"Oct 12, 2018",['Drama'],,,"{'domestic_gross': 71971, 'worldwide_gross': 256952}",2 hr 15 min,Oct,2018,256952,71971,Oct 2018,Drama
2317,Tom of Finland,"Oct 13, 2017","['Biography', 'Drama']",,,"{'domestic_gross': 378296, 'worldwide_gross': 1776931}",1 hr 57 min,Oct,2017,1776931,378296,Oct 2017,Biography
2318,Namiya,"Jan 5, 2018","['Drama', 'Family', 'Fantasy']",,,"{'domestic_gross': 70814, 'worldwide_gross': 35351623}",1 hr 56 min,Jan,2018,35351623,70814,Jan 2018,Drama
2319,The Fog,"Oct 26, 2018","['Horror', 'Thriller']",,,"{'domestic_gross': 70421, 'worldwide_gross': 70421}",1 hr 29 min,Oct,2018,70421,70421,Oct 2018,Horror
2320,Wastelander,"Jan 12, 2018","['Action', 'Adventure', 'Sci-Fi']",,,"{'domestic_gross': 70045, 'worldwide_gross': 70045}",1 hr 30 min,Jan,2018,70045,70045,Jan 2018,Action
2321,Parchi,"Jan 12, 2018","['Action', 'Comedy', 'Crime']",,,"{'domestic_gross': 69431, 'worldwide_gross': 77110}",2 hr 17 min,Jan,2018,77110,69431,Jan 2018,Action
2322,The House That Jack Built,"Dec 14, 2018","['Crime', 'Drama', 'Horror']",R,,"{'domestic_gross': 87993, 'worldwide_gross': 2268962}",2 hr 32 min,Dec,2018,2268962,87993,Dec 2018,Crime
